直播源,#genre#
CCTV-9,http://118.114.121.52:19999/udp/239.93.1.24:5140
CCTV-9,http://115.58.216.155:4000/rtp/225.1.4.77:1106
CCTV-9,http://182.90.9.145:8888/rtp/239.81.0.117:4056
CCTV-9,http://113.9.184.165:16866/udp/229.58.190.156:5000
CCTV-9,http://171.213.130.126:6699/udp/239.93.1.24:5140
CCTV-9,http://123.144.176.135:8001/udp/225.0.4.131:7980
CCTV-9,http://211.158.177.75:8001/udp/225.0.4.131:7980
CCTV-9,http://60.220.167.11:8085/rtp/226.0.2.161:9200
CCTV-9,http://180.141.51.66:4022/udp/239.81.0.117:4056
CCTV-9,http://116.227.100.73:9200/udp/239.45.3.4:5140
CCTV-9,http://36.62.125.161:4000/rtp/238.1.78.240:7792
CCTV-9,http://220.174.36.41:8888/rtp/239.253.64.76:5140
CCTV-10,http://118.114.121.52:19999/udp/239.93.1.28:5140
CCTV-10,http://115.58.216.155:4000/rtp/225.1.4.78:1107
CCTV-10,http://182.90.9.145:8888/rtp/239.81.0.118:4056
CCTV-10,http://113.9.184.165:16866/udp/229.58.190.157:5000
CCTV-10,http://171.213.130.126:6699/udp/239.93.1.28:5140
CCTV-10,http://123.144.176.135:8001/udp/225.0.4.130:7980
CCTV-10,http://211.158.177.75:8001/udp/225.0.4.130:7980
CCTV-10,http://60.220.167.11:8085/rtp/226.0.2.162:9208
CCTV-10,http://180.141.51.66:4022/udp/239.81.0.118:4056
CCTV-10,http://116.227.100.73:9200/udp/239.45.3.8:5140
CCTV-10,http://36.62.125.161:4000/rtp/238.1.78.241:7800
CCTV-10,http://220.174.36.41:8888/rtp/239.253.64.87:5140
CCTV-11,http://118.114.121.52:19999/udp/239.93.0.102:5140
CCTV-11,http://115.58.216.155:4000/rtp/225.1.4.215:1268
CCTV-11,http://182.90.9.145:8888/rtp/239.81.0.229:4056
CCTV-11,http://171.213.130.126:6699/udp/239.93.0.102:5140
CCTV-11,http://123.144.176.135:8001/udp/225.0.4.218:7980
CCTV-11,http://211.158.177.75:8001/udp/225.0.4.218:7980
CCTV-11,http://180.141.51.66:4022/udp/239.81.0.229:4056
CCTV-11,http://36.62.125.161:4000/rtp/238.1.78.206:7502
CCTV-11,http://220.174.36.41:8888/rtp/239.253.64.70:5140
CCTV-12,http://118.114.121.52:19999/udp/239.93.1.30:8124
CCTV-12,http://115.58.216.155:4000/rtp/225.1.4.79:1108
CCTV-12,http://182.90.9.145:8888/rtp/239.81.0.119:4056
CCTV-12,http://113.9.184.165:16866/udp/229.58.190.158:5000
CCTV-12,http://171.213.130.126:6699/udp/239.93.1.30:8124
CCTV-12,http://123.144.176.135:8001/udp/225.0.4.129:7980
CCTV-12,http://211.158.177.75:8001/udp/225.0.4.129:7980
CCTV-12,http://60.220.167.11:8085/rtp/226.0.2.164:9224
CCTV-12,http://180.141.51.66:4022/udp/239.81.0.119:4056
CCTV-12,http://116.227.100.73:9200/udp/239.45.3.10:5140
CCTV-12,http://36.62.125.161:4000/rtp/238.1.78.242:7808
CCTV-12,http://220.174.36.41:8888/rtp/239.253.64.97:5140
CCTV-13,http://118.114.121.52:19999/udp/239.93.0.66:5140
CCTV-13,http://115.58.216.155:4000/rtp/225.1.4.113:1293
CCTV-13,http://182.90.9.145:8888/rtp/239.81.0.206:4056
CCTV-13,http://113.9.184.165:16866/udp/229.58.190.199:5000
CCTV-13,http://171.213.130.126:6699/udp/239.93.0.66:5140
CCTV-13,http://123.144.176.135:8001/udp/225.0.4.219:7980
CCTV-13,http://211.158.177.75:8001/udp/225.0.4.219:7980
CCTV-13,http://60.220.167.11:8085/rtp/226.0.2.165:9232
CCTV-13,http://180.141.51.66:4022/udp/239.81.0.206:4056
CCTV-13,http://36.62.125.161:4000/rtp/238.1.79.35:4392
CCTV-13,http://220.174.36.41:8888/rtp/239.253.64.59:5140
CCTV-14,http://118.114.121.52:19999/udp/239.93.1.29:6000
CCTV-14,http://115.58.216.155:4000/rtp/225.1.4.80:1109
CCTV-14,http://182.90.9.145:8888/rtp/239.81.0.120:4056
CCTV-14,http://113.9.184.165:16866/udp/229.58.190.159:5000
CCTV-14,http://171.213.130.126:6699/udp/239.93.1.29:6000
CCTV-14,http://123.144.176.135:8001/udp/225.0.4.128:7980
CCTV-14,http://211.158.177.75:8001/udp/225.0.4.128:7980
CCTV-14,http://60.220.167.11:8085/rtp/226.0.2.166:9240
CCTV-14,http://180.141.51.66:4022/udp/239.81.0.120:4056
CCTV-14,http://116.227.100.73:9200/udp/239.45.3.23:5140
CCTV-14,http://36.62.125.161:4000/rtp/238.1.78.243:7816
CCTV-14,http://220.174.36.41:8888/rtp/239.253.64.115:5140
